run,t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,root_level_error_hPa,anchor_raster_error,width_raster_error
daily,0,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,1,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,2,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,3,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,4,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,5,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,6,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,7,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,8,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,9,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,10,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,11,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,12,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,13,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,14,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,15,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,16,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,17,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,18,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,19,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,20,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,21,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,22,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,23,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,24,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,25,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,26,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,27,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,28,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,29,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,30,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,31,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,32,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,33,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,34,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
daily,35,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
