method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
RA-MTM,0,0,0.0153171435057511,,,,False,True,,19.039176783791405,17.201119563101273,0.01248966380869934,2.9975193140878416
RA-MTM,0,1,0.0153171435057511,,,,False,True,,63.76896463621363,61.9309074155235,0.5995038628175683,143.88092707621638
RA-MTM,0,2,0.0153171435057511,,,,False,False,,68.67572991732196,70.51378713801209,0.14987596570439207,35.970231769054095
RA-MTM,0,3,0.0153171435057511,,,,False,True,,20.404537557665027,22.24259477835516,0.1873449571304901,44.962789711317626
RA-MTM,0,4,0.0153171435057511,,,,False,True,,65.81147482166696,67.6495320423571,5.395534765358114,1294.9283436859475
RA-MTM,1,5,0.026534078833704674,,,,False,False,,71.94690677139417,68.76281731134961,0.02497932761739868,5.995038628175683
RA-MTM,1,6,0.026534078833704674,,,,False,False,,73.6536077387362,70.46951827869164,0.01248966380869934,2.9975193140878416
RA-MTM,1,7,0.026534078833704674,,,,False,False,,77.49368491525576,80.67777437530032,0.09991731046959472,23.980154512702732
RA-MTM,1,4,0.026534078833704674,0.011216935327953573,1.6653345369377348e-16,0.011216935327953573,True,True,0.5572354211663066,69.98626759783863,73.1703570578832,3.6095128407141095,866.2830817713863
RA-MTM,1,8,0.026534078833704674,,,,False,False,,34.399485489869626,31.215396029825065,0.01248966380869934,2.9975193140878416
RA-MTM,1,3,0.026534078833704674,0.041851222339455776,2.220446049250313e-16,0.041851222339455776,True,True,0.21052631578947367,23.44356637693211,20.25947691688755,0.38717957806967956,92.92309873672309
RA-MTM,2,9,0.04988342085638872,,,,False,False,,66.64394305143858,72.62995355420523,0.3497105866435815,83.93054079445956
RA-MTM,2,10,0.04988342085638872,,,,False,True,,92.1261358558499,98.11214635861654,1.061621423739444,254.78914169746653
RA-MTM,2,11,0.04988342085638872,,,,False,False,,69.77474190386796,75.76075240663461,0.13738630189569273,32.972712454966256
